Height,Weight,Diameter,Length
0.12,0.625,0.38,0.515
0.135,0.711,0.42,0.515
0.135,0.6965,0.4,0.515
0.13,0.5825,0.4,0.52
0.125,0.663,0.395,0.52
0.125,0.6965,0.4,0.525
0.13,0.694,0.415,0.53
0.155,0.81,0.42,0.53
0.11,0.5745,0.415,0.53
0.13,0.7675,0.425,0.53
0.135,0.6025,0.4,0.535
0.15,0.5765,0.415,0.535
0.14,0.7265,0.42,0.54
0.135,0.7715,0.435,0.545
0.15,0.7285,0.43,0.545
0.135,0.5945,0.405,0.545
0.145,0.7895,0.43,0.55
0.14,0.7535,0.435,0.55
0.135,0.7305,0.425,0.55
0.155,0.7395,0.43,0.555
0.14,0.7665,0.43,0.555
0.145,0.7905,0.425,0.555
0.135,0.8205,0.425,0.56
0.145,0.688,0.425,0.56
0.145,0.974,0.455,0.56
0.175,0.8735,0.44,0.565
0.145,0.751,0.45,0.57
0.135,0.794,0.45,0.57
0.13,0.7665,0.44,0.57
0.16,1.0505,0.475,0.585
0.135,0.7715,0.445,0.59
0.15,1.12,0.475,0.6
0.15,1.238,0.485,0.605
0.13,0.9025,0.435,0.605
0.15,0.9605,0.465,0.61
0.18,1.272,0.505,0.63
0.145,1.0605,0.475,0.63
0.035,0.014,0.105,0.14
0.06,0.0515,0.165,0.23
0.135,0.2215,0.265,0.365
0.08,0.1985,0.255,0.365
0.095,0.232,0.27,0.37
0.085,0.3155,0.28,0.375
0.09,0.247,0.3,0.385
0.09,0.3025,0.295,0.395
0.11,0.329,0.29,0.4
0.09,0.2815,0.3,0.4
0.095,0.3425,0.31,0.405
0.09,0.2825,0.29,0.405
0.105,0.304,0.3,0.405
0.095,0.2905,0.32,0.41
0.105,0.389,0.34,0.425
0.105,0.4405,0.34,0.43
0.105,0.369,0.34,0.44
0.11,0.4465,0.365,0.44
0.135,0.501,0.335,0.455
0.11,0.436,0.355,0.46
0.14,0.4615,0.345,0.47
0.125,0.4315,0.35,0.47
0.12,0.3685,0.355,0.47
0.115,0.459,0.365,0.475
0.125,0.542,0.36,0.48
0.12,0.4725,0.38,0.485
0.125,0.556,0.395,0.515
0.125,0.5625,0.4,0.515
0.13,0.7045,0.43,0.53
0.13,0.8425,0.475,0.615
0.045,0.0475,0.17,0.21
0.055,0.101,0.21,0.285
0.07,0.121,0.215,0.295
0.085,0.117,0.23,0.3
0.09,0.1465,0.225,0.305
0.08,0.168,0.255,0.335
0.075,0.18,0.26,0.35
0.075,0.1775,0.27,0.355
0.09,0.1985,0.26,0.355
0.095,0.2,0.27,0.36
0.075,0.2205,0.275,0.36
0.075,0.1845,0.265,0.36
0.085,0.2225,0.27,0.365
0.095,0.2175,0.27,0.37
0.08,0.2165,0.28,0.375
0.095,0.243,0.285,0.38
0.1,0.237,0.29,0.38
0.09,0.2365,0.29,0.385
0.095,0.257,0.28,0.385
0.09,0.308,0.3,0.385
0.09,0.252,0.3,0.39
0.1,0.281,0.285,0.39
0.1,0.2225,0.29,0.39
0.09,0.304,0.3,0.41
0.09,0.28,0.3,0.41
0.1,0.313,0.325,0.415
0.11,0.317,0.325,0.425
0.08,0.303,0.315,0.425
0.1,0.3295,0.335,0.435
0.11,0.367,0.325,0.435
0.095,0.3245,0.34,0.45
0.11,0.4195,0.335,0.45
0.115,0.457,0.36,0.455
0.11,0.4,0.35,0.46
0.11,0.4255,0.355,0.46
0.12,0.4365,0.37,0.465
0.11,0.393,0.345,0.465
0.125,0.499,0.355,0.47
0.145,0.6325,0.36,0.475
0.125,0.4905,0.36,0.475
0.125,0.474,0.37,0.48
0.12,0.536,0.37,0.48
0.13,0.6025,0.375,0.485
0.115,0.4615,0.375,0.49
0.135,0.624,0.4,0.49
0.125,0.4715,0.37,0.495
0.105,0.602,0.4,0.495
0.12,0.616,0.4,0.5
0.12,0.5955,0.39,0.5
0.14,0.559,0.375,0.5
0.13,0.6025,0.395,0.51
0.125,0.4725,0.36,0.515
0.105,0.4745,0.35,0.515
0.125,0.6635,0.395,0.515
0.125,0.5705,0.39,0.515
0.145,0.646,0.41,0.52
0.13,0.5545,0.39,0.52
0.12,0.664,0.39,0.525
0.135,0.615,0.38,0.525
0.14,0.654,0.4,0.525
0.12,0.5965,0.42,0.53
0.135,0.6255,0.43,0.53
0.145,0.555,0.4,0.53
0.13,0.8365,0.42,0.53
0.13,0.657,0.4,0.535
0.17,0.836,0.43,0.54
0.14,0.742,0.425,0.54
0.14,0.8195,0.43,0.54
0.14,0.6275,0.42,0.54
0.13,0.7205,0.425,0.54
0.135,0.686,0.425,0.54
0.13,0.686,0.4,0.545
0.12,0.543,0.375,0.545
0.125,0.717,0.42,0.545
0.15,0.639,0.425,0.55
0.135,0.816,0.42,0.55
0.145,0.7815,0.415,0.55
0.15,0.7665,0.425,0.55
0.13,0.5585,0.395,0.555
0.14,0.765,0.435,0.555
0.145,0.9005,0.46,0.555
0.15,0.8225,0.445,0.56
0.13,0.7235,0.44,0.56
0.155,0.743,0.42,0.565
0.17,0.848,0.435,0.57
0.145,0.833,0.43,0.57
0.155,0.867,0.445,0.57
0.145,0.7405,0.445,0.57
0.135,0.7965,0.425,0.575
0.125,0.78,0.45,0.575
0.17,0.8015,0.445,0.575
0.135,0.807,0.45,0.575
0.125,0.7095,0.445,0.58
0.145,1.022,0.45,0.59
0.145,0.9015,0.46,0.59
0.15,0.8335,0.46,0.595
0.17,0.9175,0.48,0.6
0.145,0.8025,0.47,0.605
0.125,0.9225,0.465,0.61
0.18,1.154,0.485,0.62
0.16,1.066,0.49,0.62
0.14,0.8565,0.47,0.62
0.135,0.924,0.45,0.62
0.155,1.1955,0.47,0.625
0.15,1.044,0.485,0.625
0.165,1.489,0.5,0.635
0.09,0.2315,0.175,0.275
0.1,0.394,0.245,0.375
0.12,0.5965,0.3,0.435
0.105,0.422,0.335,0.455
0.135,0.82,0.325,0.455
0.11,0.434,0.345,0.455
0.14,0.7615,0.325,0.465
0.105,0.5205,0.365,0.485
0.16,0.869,0.345,0.485
0.18,1.0835,0.385,0.535
0.165,0.8935,0.42,0.545
0.13,0.8145,0.45,0.575
0.15,0.8915,0.45,0.585
0.04,0.027,0.135,0.185
0.055,0.0555,0.18,0.24
0.075,0.1275,0.215,0.31
0.085,0.1885,0.26,0.34
0.08,0.2,0.265,0.35
0.085,0.197,0.27,0.365
0.085,0.223,0.275,0.365
0.075,0.2215,0.27,0.365
0.105,0.2665,0.31,0.39
0.09,0.269,0.3,0.405
0.095,0.2805,0.315,0.41
0.105,0.3305,0.335,0.41
0.09,0.2815,0.31,0.415
0.1,0.2805,0.31,0.415
0.095,0.311,0.31,0.415
0.1,0.368,0.325,0.42
0.1,0.3405,0.34,0.43
0.1,0.3245,0.335,0.435
0.11,0.38,0.33,0.435
0.105,0.335,0.33,0.435
0.12,0.3215,0.345,0.435
0.11,0.358,0.33,0.445
0.11,0.445,0.37,0.465
0.12,0.487,0.375,0.47
0.105,0.4535,0.34,0.475
0.13,0.568,0.385,0.485
0.12,0.5155,0.36,0.485
0.115,0.457,0.37,0.485
0.135,0.5095,0.38,0.495
0.145,0.5,0.38,0.495
0.14,0.494,0.375,0.495
0.11,0.5605,0.38,0.5
0.13,0.599,0.405,0.505
0.145,0.7045,0.4,0.505
0.135,0.7125,0.415,0.515
0.15,0.6725,0.42,0.515
0.11,0.5185,0.41,0.52
0.14,0.6375,0.415,0.52
0.125,0.5805,0.395,0.52
0.115,0.6645,0.38,0.52
0.115,0.581,0.385,0.52
0.12,0.596,0.415,0.525
0.145,0.6965,0.405,0.525
0.145,0.6095,0.4,0.525
0.14,0.677,0.43,0.53
0.16,0.7245,0.43,0.53
0.13,0.575,0.395,0.53
0.12,0.632,0.405,0.53
0.14,1.0015,0.455,0.535
0.135,0.6555,0.395,0.54
0.125,0.6255,0.39,0.54
0.14,0.8145,0.425,0.545
0.14,0.687,0.43,0.545
0.14,0.7995,0.435,0.55
0.13,0.804,0.45,0.55
0.175,0.738,0.45,0.555
0.165,0.832,0.445,0.56
0.145,0.8445,0.435,0.565
0.155,0.8715,0.46,0.565
0.135,0.8715,0.45,0.575
0.135,0.8245,0.45,0.575
0.145,0.7905,0.44,0.58
0.165,1.071,0.49,0.605
0.135,1.1,0.49,0.64
0.15,1.238,0.52,0.65
0.04,0.029,0.13,0.135
0.025,0.0195,0.11,0.16
0.055,0.0465,0.15,0.21
0.075,0.1195,0.21,0.28
0.065,0.0895,0.2,0.28
0.06,0.0935,0.215,0.285
0.07,0.1115,0.21,0.29
0.06,0.1195,0.21,0.29
0.065,0.097,0.21,0.29
0.07,0.133,0.24,0.32
0.07,0.1745,0.25,0.325
0.08,0.1695,0.25,0.335
0.08,0.17,0.235,0.35
0.07,0.1605,0.25,0.35
0.105,0.271,0.27,0.355
0.085,0.2185,0.27,0.36
0.085,0.196,0.27,0.36
0.08,0.226,0.28,0.375
0.085,0.22,0.275,0.375
0.095,0.3,0.29,0.395
0.09,0.2875,0.25,0.405
0.11,0.316,0.325,0.415
0.095,0.3675,0.315,0.425
0.11,0.3675,0.32,0.43
0.12,0.346,0.325,0.435
0.11,0.4675,0.35,0.46
0.105,0.441,0.375,0.47
0.12,0.5185,0.365,0.475
0.135,0.6855,0.455,0.51
0.06,0.086,0.19,0.255
0.065,0.1065,0.195,0.27
0.08,0.132,0.215,0.28
0.07,0.1075,0.215,0.285
0.085,0.1745,0.255,0.32
0.07,0.152,0.24,0.325
0.1,0.2755,0.28,0.385
0.1,0.293,0.295,0.395
0.09,0.312,0.31,0.405
0.12,0.336,0.305,0.415
0.115,0.355,0.315,0.42
0.115,0.379,0.305,0.44
0.12,0.378,0.32,0.445
0.09,0.4325,0.355,0.465
0.135,0.5465,0.35,0.48
0.11,0.538,0.37,0.49
0.115,0.668,0.42,0.55
0.09,0.2825,0.305,0.405
0.1,0.25,0.29,0.37
0.11,0.315,0.31,0.41
0.055,0.166,0.25,0.325
0.08,0.452,0.355,0.455
0.09,0.232,0.29,0.385
0.035,0.0105,0.095,0.13
0.045,0.0275,0.13,0.18
0.05,0.1445,0.225,0.31
0.125,0.433,0.37,0.455
0.11,0.4555,0.36,0.475
0.1,0.127,0.31,0.4
0.075,0.1735,0.24,0.32
0.11,0.3945,0.35,0.46
0.075,0.1225,0.2,0.28
0.085,0.2735,0.28,0.38
0.015,0.0145,0.115,0.165
0.03,0.0295,0.13,0.19
0.03,0.0385,0.15,0.215
0.08,0.1485,0.235,0.32
0.055,0.0605,0.17,0.215
0.11,0.3675,0.325,0.43
0.08,0.099,0.215,0.26
0.09,0.233,0.28,0.37
0.105,0.3625,0.305,0.405
0.08,0.081,0.19,0.27
0.08,0.1365,0.22,0.275
0.08,0.19,0.26,0.33
0.11,0.2235,0.28,0.355
0.075,0.086,0.2,0.275
0.11,0.444,0.335,0.46
0.1,0.2275,0.28,0.355
0.16,0.893,0.45,0.59
0.14,0.5705,0.415,0.485
0.12,0.4475,0.345,0.435
0.105,0.347,0.315,0.405
0.1,0.352,0.33,0.42
0.09,0.18,0.265,0.33
0.1,0.185,0.27,0.325
0.09,0.179,0.26,0.34
0.1,0.385,0.325,0.415
0.125,0.585,0.385,0.495
0.07,0.137,0.24,0.315
0.1,0.2875,0.31,0.4
0.105,0.306,0.325,0.395
0.145,0.5825,0.39,0.48
0.115,0.3435,0.345,0.42
0.09,0.1455,0.24,0.31
0.07,0.075,0.185,0.255
0.055,0.0235,0.125,0.17
0.17,0.9445,0.44,0.56
0.115,0.354,0.325,0.42
0.11,0.383,0.335,0.435
0.155,0.6315,0.41,0.535
0.115,0.3285,0.325,0.415
0.15,0.7365,0.43,0.525
0.135,0.567,0.35,0.47
0.14,0.6505,0.375,0.515
0.09,0.1425,0.22,0.3
0.16,1.2395,0.46,0.625
0.17,1.0385,0.475,0.61
0.155,0.972,0.465,0.625
0.19,1.3315,0.505,0.635
0.155,0.762,0.385,0.5
0.1,0.437,0.33,0.445
0.165,0.435,0.355,0.44
0.17,0.8435,0.455,0.555
0.145,1.25,0.515,0.655
0.175,1.411,0.43,0.625
0.17,1.208,0.485,0.62
0.12,0.537,0.395,0.5
0.11,0.28,0.305,0.42
0.16,0.595,0.415,0.52
0.17,0.9315,0.45,0.575
0.155,0.782,0.435,0.565
0.14,0.525,0.38,0.52
0.18,1.319,0.5,0.635
0.095,0.17,0.24,0.335
0.08,0.096,0.205,0.275
0.08,0.0995,0.2,0.325
0.065,0.092,0.2,0.275
0.065,0.0625,0.17,0.235
0.06,0.073,0.18,0.25
0.065,0.071,0.185,0.25
0.05,0.036,0.145,0.2
0.09,0.1925,0.26,0.355
0.1,0.2865,0.31,0.42
0.07,0.109,0.21,0.285
0.075,0.127,0.23,0.3
0.105,0.2885,0.24,0.31
0.075,0.18,0.255,0.34
0.075,0.144,0.3,0.375
0.1,0.4665,0.325,0.415
0.105,0.33,0.315,0.415
0.09,0.3625,0.315,0.415
0.1,0.34,0.32,0.42
0.105,0.365,0.31,0.425
0.11,0.5555,0.37,0.47
0.12,0.53,0.365,0.475
0.185,0.6125,0.39,0.505
0.215,1.786,0.525,0.66
0.065,0.04,0.15,0.205
0.07,0.0565,0.17,0.225
0.05,0.064,0.18,0.23
0.07,0.0875,0.195,0.275
0.055,0.106,0.21,0.28
0.08,0.1315,0.22,0.28
0.07,0.126,0.22,0.295
0.075,0.155,0.225,0.31
0.07,0.149,0.235,0.315
0.07,0.185,0.265,0.34
0.08,0.2545,0.29,0.37
0.085,0.237,0.285,0.38
0.1,0.279,0.295,0.39
0.065,0.3205,0.31,0.405
0.1,0.3335,0.325,0.415
0.11,0.3885,0.335,0.44
0.115,0.545,0.345,0.44
0.1,0.4165,0.325,0.44
0.12,0.495,0.355,0.44
0.125,0.4775,0.35,0.45
0.12,0.468,0.35,0.45
0.12,0.4155,0.345,0.46
0.115,0.4215,0.345,0.46
0.11,0.474,0.355,0.465
0.11,0.5735,0.385,0.475
0.105,0.468,0.355,0.475
0.11,0.494,0.38,0.5
0.12,0.6005,0.385,0.505
0.05,0.049,0.16,0.22
0.07,0.1055,0.205,0.275
0.06,0.1045,0.21,0.29
0.075,0.163,0.24,0.33
0.095,0.2275,0.285,0.355
0.1,0.219,0.29,0.375
0.1,0.3645,0.315,0.415
0.115,0.3265,0.33,0.425
0.1,0.3515,0.34,0.425
0.1,0.3465,0.32,0.43
0.1,0.407,0.34,0.44
0.115,0.4215,0.335,0.44
0.11,0.3755,0.345,0.46
0.12,0.5335,0.37,0.46
0.105,0.442,0.355,0.465
0.1,0.1315,0.365,0.475
0.115,0.5205,0.375,0.475
0.13,0.5535,0.375,0.485
0.125,0.5445,0.375,0.49
0.12,0.512,0.38,0.495
0.125,0.583,0.39,0.5
0.155,0.5395,0.395,0.51
0.15,0.625,0.385,0.51
0.125,0.5925,0.4,0.515
0.135,0.633,0.395,0.52
0.13,0.636,0.42,0.55
0.13,0.648,0.425,0.555
0.03,0.0315,0.14,0.19
0.045,0.04,0.15,0.21
0.06,0.0635,0.175,0.25
0.065,0.0985,0.215,0.29
0.08,0.167,0.25,0.335
0.085,0.2015,0.245,0.34
0.095,0.183,0.255,0.345
0.08,0.187,0.255,0.355
0.08,0.1795,0.26,0.36
0.09,0.2065,0.275,0.37
0.14,0.3,0.29,0.375
0.095,0.2295,0.275,0.375
0.125,0.343,0.3,0.385
0.085,0.244,0.285,0.385
0.1,0.3075,0.32,0.395
0.1,0.3415,0.305,0.4
0.1,0.271,0.305,0.405
0.11,0.91,0.31,0.405
0.1,0.268,0.305,0.405
0.09,0.2885,0.3,0.405
0.1,0.3,0.315,0.41
0.11,0.326,0.325,0.41
0.1,0.358,0.335,0.415
0.115,0.314,0.325,0.42
0.11,0.4025,0.315,0.42
0.11,0.3645,0.34,0.43
0.11,0.4235,0.36,0.445
0.095,0.3505,0.335,0.45
0.115,0.486,0.34,0.455
0.1,0.471,0.35,0.46
0.105,0.415,0.345,0.46
0.115,0.5195,0.355,0.475
0.125,0.5215,0.38,0.485
0.14,0.4475,0.365,0.485
0.125,0.5585,0.365,0.49
0.125,0.596,0.385,0.505
0.135,0.5385,0.38,0.505
0.145,0.7665,0.385,0.51
0.11,0.531,0.39,0.515
0.13,0.607,0.385,0.525
0.13,0.6445,0.4,0.525
0.12,0.6315,0.375,0.525
0.145,0.712,0.43,0.55
0.145,0.89,0.425,0.55
0.155,0.912,0.42,0.55
0.135,0.656,0.425,0.55
0.15,0.936,0.465,0.55
0.145,0.6975,0.435,0.555
0.14,0.825,0.44,0.56
0.135,0.72,0.435,0.56
0.15,0.8215,0.43,0.565
0.145,0.8465,0.46,0.585
0.145,0.6735,0.42,0.585
0.05,0.0545,0.17,0.24
0.055,0.0725,0.195,0.255
0.055,0.0925,0.2,0.275
0.09,0.183,0.235,0.32
0.075,0.1525,0.24,0.325
0.075,0.187,0.225,0.33
0.09,0.232,0.27,0.36
0.095,0.196,0.265,0.375
0.09,0.2545,0.285,0.375
0.09,0.2625,0.29,0.39
0.105,0.362,0.335,0.45
0.105,0.4445,0.35,0.455
0.115,0.511,0.365,0.46
0.12,0.589,0.375,0.495
0.12,0.529,0.375,0.5
0.145,0.77,0.395,0.52
0.07,0.1245,0.23,0.31
0.075,0.1285,0.235,0.315
0.08,0.181,0.205,0.32
0.075,0.1585,0.25,0.325
0.09,0.1965,0.26,0.335
0.085,0.198,0.28,0.37
0.09,0.1855,0.27,0.37
0.085,0.2145,0.28,0.375
0.09,0.3245,0.315,0.4
0.095,0.2625,0.305,0.41
0.1,0.371,0.34,0.425
0.095,0.298,0.335,0.435
0.09,0.336,0.31,0.445
0.14,0.447,0.36,0.46
0.13,0.587,0.385,0.47
0.11,0.494,0.375,0.475
0.12,0.614,0.375,0.495
0.13,0.5075,0.39,0.5
0.12,0.5445,0.37,0.5
0.125,0.6115,0.425,0.505
0.125,0.5605,0.4,0.505
0.145,0.5775,0.4,0.51
0.125,0.5935,0.4,0.51
0.11,0.597,0.4,0.52
0.125,0.616,0.38,0.53
0.13,0.8155,0.425,0.54
0.11,0.619,0.415,0.54
0.13,0.7595,0.43,0.545
0.15,0.742,0.43,0.545
0.165,0.804,0.435,0.55
0.13,0.664,0.425,0.55
0.13,0.728,0.43,0.56
0.13,0.777,0.435,0.56
0.16,0.9895,0.455,0.575
0.135,0.855,0.45,0.585
0.125,0.755,0.46,0.59
0.145,0.9745,0.475,0.59
0.135,0.9205,0.445,0.6
0.155,0.9995,0.48,0.605
0.155,1.0485,0.425,0.61
0.16,1.1545,0.49,0.61
0.175,1.2565,0.485,0.67
0.095,0.305,0.215,0.32
0.115,0.4295,0.345,0.43
0.1,0.449,0.33,0.43
0.115,0.5745,0.37,0.5
0.135,0.775,0.4,0.535
0.165,0.9845,0.43,0.595
0.065,0.074,0.185,0.255
0.08,0.2075,0.26,0.375
0.09,0.237,0.285,0.375
0.1,0.2665,0.3,0.39
0.09,0.215,0.28,0.39
0.09,0.253,0.3,0.395
0.11,0.309,0.32,0.42
0.105,0.3535,0.335,0.435
0.105,0.335,0.325,0.435
0.105,0.3875,0.32,0.44
0.115,0.365,0.33,0.45
0.125,0.4045,0.34,0.45
0.105,0.372,0.355,0.455
0.11,0.3965,0.37,0.46
0.125,0.5225,0.375,0.47
0.11,0.456,0.375,0.475
0.1,0.44,0.33,0.495
0.115,0.507,0.375,0.495
0.135,0.5285,0.38,0.5
0.125,0.572,0.385,0.515
0.14,0.6625,0.41,0.52
0.115,0.6445,0.395,0.52
0.11,0.6275,0.4,0.525
0.145,0.6885,0.42,0.535
0.15,0.6755,0.405,0.55
0.145,0.783,0.445,0.55
0.135,0.768,0.44,0.565
0.13,0.7425,0.43,0.575
0.16,0.9175,0.445,0.575
0.145,0.974,0.47,0.59
0.16,0.907,0.475,0.62
0.05,0.0515,0.17,0.225
0.05,0.057,0.17,0.23
0.06,0.0925,0.185,0.255
0.075,0.204,0.27,0.355
0.095,0.3075,0.31,0.425
0.085,0.262,0.32,0.425
0.06,0.1115,0.215,0.29
0.065,0.1235,0.22,0.3
0.1,0.2815,0.275,0.37
0.08,0.226,0.285,0.375
0.085,0.2285,0.29,0.38
0.12,0.2995,0.3,0.395
0.105,0.361,0.325,0.41
0.115,0.3045,0.32,0.415
0.105,0.3975,0.325,0.425
0.1,0.379,0.34,0.44
0.12,0.4995,0.34,0.44
0.09,0.1835,0.26,0.335
0.08,0.033,0.135,0.18
0.055,0.059,0.165,0.215
0.04,0.046,0.15,0.2
0.065,0.1165,0.2,0.275
0.12,0.61,0.405,0.51
0.07,0.102,0.195,0.27
0.025,0.0345,0.145,0.2
0.075,0.1495,0.245,0.325
0.075,0.1515,0.235,0.31
0.075,0.116,0.215,0.295
0.125,0.523,0.38,0.48
0.08,0.1565,0.25,0.32
0.125,0.384,0.34,0.43
0.12,0.375,0.35,0.44
0.125,0.3915,0.325,0.42
0.1,0.2225,0.285,0.345
0.125,0.533,0.375,0.455
0.105,0.366,0.35,0.43
0.075,0.15,0.23,0.3
0.175,1.057,0.445,0.6
0.115,0.2595,0.3,0.41
0.12,0.5085,0.355,0.485
0.115,0.4385,0.355,0.45
0.14,0.5425,0.385,0.49
0.1,0.2565,0.28,0.375
0.135,0.8095,0.415,0.55
0.2,1.3655,0.48,0.635
0.17,0.967,0.475,0.575
0.125,0.4895,0.34,0.44
0.125,0.45,0.36,0.45
0.105,0.259,0.3,0.39
0.18,1.6935,0.525,0.66
0.145,0.97,0.435,0.54
0.145,0.515,0.38,0.495
0.16,0.51,0.4,0.47
0.115,0.683,0.385,0.49
0.105,0.468,0.375,0.47
0.13,0.4075,0.345,0.445
0.14,0.4545,0.365,0.475
0.11,0.407,0.34,0.435
0.1,0.3085,0.3,0.39
0.1,0.239,0.285,0.375
0.17,1.178,0.445,0.58
0.15,0.7585,0.405,0.54
0.115,0.3625,0.31,0.44
0.195,1.0885,0.465,0.59
0.165,1.097,0.48,0.61
0.17,1.278,0.46,0.61
0.135,0.522,0.33,0.44
0.09,0.127,0.235,0.31
0.07,0.0815,0.19,0.255
0.08,0.1,0.21,0.295
0.045,0.0265,0.13,0.19
0.11,0.209,0.265,0.35
0.075,0.1765,0.25,0.34
0.075,0.196,0.28,0.35
0.08,0.192,0.265,0.35
0.09,0.3095,0.315,0.39
0.095,0.313,0.31,0.395
0.105,0.3595,0.31,0.415
0.1,0.3855,0.32,0.43
0.115,0.5785,0.355,0.48
0.065,0.0805,0.18,0.25
0.065,0.111,0.21,0.28
0.075,0.152,0.24,0.325
0.095,0.199,0.265,0.35
0.09,0.219,0.27,0.36
0.105,0.2155,0.27,0.365
0.09,0.2565,0.28,0.37
0.09,0.257,0.285,0.375
0.095,0.2505,0.275,0.38
0.09,0.279,0.3,0.395
0.105,0.378,0.335,0.43
0.125,0.456,0.35,0.44
0.1,0.5055,0.37,0.465
0.1,0.513,0.37,0.485
0.145,0.578,0.4,0.495
0.11,0.596,0.385,0.5
0.05,0.021,0.12,0.165
0.055,0.0455,0.15,0.21
0.085,0.2435,0.265,0.355
0.085,0.2675,0.315,0.4
0.1,0.258,0.29,0.4
0.11,0.2985,0.3,0.4
0.11,0.411,0.335,0.435
0.11,0.38,0.33,0.44
0.105,0.4385,0.34,0.45
0.105,0.4015,0.345,0.465
0.145,0.4485,0.355,0.47
0.115,0.4155,0.355,0.47
0.16,0.7095,0.42,0.475
0.115,0.637,0.37,0.485
0.13,0.599,0.405,0.51
0.13,0.5345,0.38,0.52
0.055,0.041,0.15,0.215
0.06,0.0655,0.185,0.24
0.07,0.097,0.205,0.26
0.085,0.131,0.24,0.32
0.085,0.1695,0.23,0.33
0.085,0.192,0.26,0.335
0.09,0.1765,0.26,0.35
0.085,0.1735,0.265,0.35
0.075,0.1785,0.265,0.36
0.09,0.2055,0.265,0.36
0.09,0.2345,0.275,0.365
0.09,0.2305,0.285,0.38
0.115,0.314,0.31,0.4
0.09,0.33,0.315,0.4
0.1,0.2775,0.265,0.4
0.11,0.405,0.325,0.425
0.105,0.309,0.325,0.43
0.12,0.396,0.34,0.435
0.095,0.3615,0.355,0.445
0.11,0.514,0.35,0.45
0.11,0.4265,0.435,0.455
0.09,0.384,0.34,0.46
0.125,0.4865,0.355,0.475
0.135,0.4355,0.36,0.475
0.115,0.498,0.35,0.475
0.125,0.494,0.355,0.48
0.125,0.528,0.365,0.5
0.135,0.636,0.4,0.515
0.105,0.567,0.39,0.525
0.13,0.6615,0.405,0.53
0.13,0.658,0.42,0.53
0.13,0.6075,0.41,0.535
0.135,0.7025,0.41,0.54
0.155,0.8725,0.425,0.55
0.13,0.7745,0.42,0.57
0.155,0.8725,0.455,0.575
0.125,0.8515,0.44,0.575
0.14,0.9265,0.46,0.58
0.14,0.8295,0.46,0.58
0.15,0.907,0.47,0.58
0.15,1.0315,0.465,0.63
0.04,0.028,0.125,0.175
0.095,0.226,0.285,0.37
0.09,0.2855,0.3,0.395
0.11,0.325,0.325,0.42
0.11,0.514,0.37,0.455
0.115,0.5755,0.375,0.495
0.05,0.084,0.205,0.27
0.07,0.1005,0.225,0.285
0.085,0.1285,0.22,0.295
0.075,0.1345,0.225,0.3
0.065,0.1195,0.22,0.3
0.085,0.1895,0.265,0.36
0.095,0.257,0.275,0.37
0.09,0.2745,0.29,0.39
0.1,0.342,0.325,0.435
0.105,0.344,0.34,0.44
0.095,0.3275,0.32,0.44
0.12,0.4035,0.345,0.445
0.115,0.4075,0.37,0.465
0.12,0.4975,0.355,0.465
0.12,0.3685,0.345,0.47
0.105,0.4175,0.365,0.475
0.1,0.4425,0.335,0.475
0.125,0.4225,0.35,0.475
0.125,0.426,0.365,0.485
0.12,0.511,0.39,0.49
0.13,0.573,0.405,0.515
0.14,0.6385,0.415,0.52
0.125,0.657,0.405,0.525
0.13,0.781,0.425,0.53
0.14,0.6765,0.42,0.53
0.125,0.6235,0.395,0.53
0.155,0.8075,0.45,0.535
0.15,0.7915,0.415,0.55
0.14,0.753,0.45,0.55
0.135,0.717,0.4,0.55
0.15,0.783,0.43,0.555
0.145,0.872,0.45,0.575
0.15,0.983,0.44,0.575
0.14,0.7635,0.46,0.585
0.135,0.9365,0.47,0.595
0.155,0.966,0.47,0.62
0.16,1.15,0.485,0.625
0.17,1.217,0.49,0.63
0.075,0.1585,0.13,0.235
0.1,0.4015,0.25,0.35
0.115,0.465,0.25,0.36
0.095,0.2885,0.28,0.38
0.105,0.452,0.36,0.465
0.12,0.4915,0.355,0.47
0.145,0.7865,0.395,0.5
0.15,0.8415,0.375,0.51
0.065,0.101,0.205,0.275
0.07,0.106,0.205,0.285
0.085,0.1865,0.265,0.36
0.1,0.2575,0.29,0.385
0.1,0.3225,0.315,0.4
0.095,0.32,0.33,0.43
0.11,0.4155,0.375,0.435
0.115,0.3935,0.335,0.45
0.135,0.4775,0.355,0.475
0.11,0.452,0.36,0.475
0.14,0.5065,0.37,0.485
0.105,0.5525,0.395,0.51
0.12,0.565,0.39,0.515
0.14,0.699,0.41,0.52
0.14,0.6055,0.4,0.525
0.115,0.475,0.395,0.53
0.15,0.612,0.41,0.53
0.145,0.705,0.4,0.535
0.135,0.728,0.45,0.535
0.125,0.6545,0.43,0.565
0.145,0.795,0.45,0.575
0.14,0.701,0.42,0.58
0.125,0.86,0.45,0.59
0.18,1.1305,0.48,0.62
0.045,0.0495,0.155,0.205
0.075,0.1455,0.23,0.305
0.06,0.129,0.23,0.32
0.1,0.2255,0.27,0.355
0.095,0.3505,0.31,0.425
0.125,0.5655,0.4,0.525
0.095,0.221,0.26,0.35
0.095,0.2425,0.275,0.38
0.1,0.386,0.34,0.46
0.035,0.034,0.105,0.17
0.095,0.185,0.25,0.335
0.085,0.2045,0.275,0.37
0.085,0.1785,0.255,0.335
0.065,0.1385,0.235,0.32
0.075,0.1405,0.25,0.33
0.1,0.286,0.3,0.38
